Time,Channel A,Channel B
(s),(V),(V)

1.35693800,0.17645800,0.48857080
1.36027200,0.19409770,0.49745170
1.36360600,0.17645800,0.48857080
1.36694000,0.16763820,0.47077850
1.37027400,0.19409770,0.50636310
1.37360800,0.19409770,0.49745170
1.37694200,0.19409770,0.48857080
1.38027600,0.16763820,0.46189760
1.38361000,0.18527790,0.47965940
1.38694400,0.19409770,0.47965940
1.39027800,0.20291760,0.48857080
1.39361200,0.20291760,0.49745170
1.39694600,0.21176790,0.50636310
1.40028000,0.20291760,0.48857080
1.40361400,0.20291760,0.47965940
1.40694800,0.19409770,0.47077850
1.41028200,0.22058780,0.49745170
1.41361600,0.22058780,0.49745170
1.41695000,0.21176790,0.49745170
1.42028400,0.19409770,0.46189760
1.42361800,0.21176790,0.48857080
1.42695200,0.21176790,0.47965940
1.43028600,0.22058780,0.48857080
1.43362000,0.23822750,0.49745170
1.43695400,0.24704730,0.50636310
1.44028800,0.22940760,0.49745170
1.44362200,0.21176790,0.47077850
1.44695600,0.21176790,0.47077850
1.45029000,0.23822750,0.50636310
1.45362400,0.23822750,0.49745170
1.45695800,0.23822750,0.48857080
1.46029200,0.21176790,0.47077850
1.46362600,0.22940760,0.48857080
1.46696000,0.22058780,0.46189760
1.47029400,0.22940760,0.47077850
1.47362800,0.24704730,0.48857080
1.47696200,0.25586720,0.49745170
1.48029600,0.24704730,0.47965940
1.48363000,0.22940760,0.47077850
1.48696400,0.22940760,0.46189760
1.49029800,0.24704730,0.48857080
1.49363200,0.24704730,0.48857080
1.49696600,0.25586720,0.48857080
1.50030000,0.22058780,0.45298620
1.50363400,0.24704730,0.47965940
1.50696800,0.22940760,0.46189760
1.51030200,0.23822750,0.46189760
1.51363600,0.24704730,0.47077850
1.51697000,0.25586720,0.48857080
1.52030400,0.24704730,0.47965940
1.52363800,0.23822750,0.46189760
1.52697200,0.24704730,0.47077850
1.53030600,0.26468700,0.48857080
1.53364000,0.26468700,0.48857080
1.53697400,0.26468700,0.48857080
1.54030800,0.24704730,0.46189760
1.54364200,0.23822750,0.45298620
1.54697600,0.24704730,0.47077850
1.55031000,0.24704730,0.46189760
1.55364400,0.26468700,0.47965940
1.55697800,0.26468700,0.47077850
1.56031200,0.26468700,0.47965940
1.56364600,0.24704730,0.46189760
1.56698000,0.23822750,0.44410540
1.57031400,0.24704730,0.45298620
1.57364800,0.26468700,0.47077850
1.57698200,0.28235720,0.48857080
1.58031600,0.27350690,0.48857080
1.58365000,0.24704730,0.45298620
1.58698400,0.24704730,0.46189760
1.59031800,0.25586720,0.47077850
1.59365200,0.26468700,0.47077850
1.59698600,0.26468700,0.47077850
1.60032000,0.25586720,0.46189760
1.60365400,0.24704730,0.45298620
1.60698800,0.24704730,0.44410540
1.61032200,0.27350690,0.47077850
1.61365600,0.26468700,0.47077850
