Time,Channel A,Channel B
(s),(V),(V)

1.92009594,-0.16763820,0.43519400
1.93342994,-0.12350840,0.47965940
1.94676393,-0.11468860,0.48857080
1.96009793,-0.14999850,0.46189760
1.97343193,-0.12350840,0.46189760
1.98676593,-0.13232830,0.45298620
2.00009993,-0.14117860,0.46189760
2.01343393,-0.16763820,0.44410540
2.02676793,-0.10586870,0.43519400
2.04010193,-0.08822901,0.41743220
2.05343593,-0.12350840,0.41743220
2.06676993,-0.11468860,0.42631310
2.08010393,-0.13232830,0.39963990
2.09343793,-0.12350840,0.40852080
2.10677193,-0.12350840,0.39963990
2.12010593,-0.19409770,0.35517440
2.13343993,-0.14117860,0.39075900
2.14677393,-0.12350840,0.39963990
2.16010793,-0.21176790,0.32850120
2.17344193,-0.15881830,0.36405530
2.18677593,-0.11468860,0.39075900
2.20010993,-0.07058931,0.39963990
2.21344393,-0.14117860,0.37296670
2.22677793,-0.10586870,0.39075900
2.24011192,-0.14117860,0.36405530
2.25344592,-0.15881830,0.37296670
2.26677992,-0.14117860,0.38184760
2.28011392,-0.11468860,0.36405530
2.29344792,-0.13232830,0.36405530
2.30678192,-0.14117860,0.37296670
2.32011592,-0.14117860,0.36405530
2.33344992,-0.14117860,0.35517440
2.34678392,-0.13232830,0.36405530
2.36011792,-0.10586870,0.36405530
2.37345192,-0.14999850,0.34629350
2.38678592,-0.11468860,0.37296670
2.40011992,-0.14999850,0.33738210
2.41345392,-0.14117860,0.32850120
2.42678792,-0.13232830,0.32850120
2.44012192,-0.14999850,0.31958980
2.45345592,-0.13232830,0.32850120
2.46678992,-0.16763820,0.29291670
2.48012392,-0.11468860,0.35517440
2.49345792,-0.13232830,0.32850120
2.50679192,-0.14117860,0.31958980
2.52012592,-0.12350840,0.32850120
2.53345991,-0.13232830,0.32850120
2.54679391,-0.12350840,0.32850120
2.56012791,-0.19409770,0.26624350
2.57346191,-0.16763820,0.29291670
2.58679591,-0.15881830,0.29291670
2.60012991,-0.14999850,0.30182810
2.61346391,-0.17645800,0.27512440
2.62679791,-0.15881830,0.29291670
2.64013191,-0.19409770,0.25736260
2.65346591,-0.13232830,0.31958980
2.66679991,-0.17645800,0.28403580
2.68013391,-0.22058780,0.23957030
2.69346791,-0.14117860,0.31958980
2.70680191,-0.14999850,0.30182810
2.72013591,-0.19409770,0.25736260
2.73346991,-0.13232830,0.31070890
2.74680391,-0.17645800,0.27512440
2.76013791,-0.17645800,0.27512440
2.77347191,-0.22940760,0.21289710
2.78680591,-0.16763820,0.28403580
2.80013991,-0.21176790,0.23957030
2.81347391,-0.19409770,0.25736260
2.82680790,-0.17645800,0.27512440
2.84014190,-0.25586720,0.19510480
2.85347590,-0.18527790,0.27512440
2.86680990,-0.17645800,0.27512440
2.88014390,-0.21176790,0.24845120
2.89347790,-0.17645800,0.27512440
2.90681190,-0.19409770,0.25736260
2.92014590,-0.17645800,0.27512440
2.93347990,-0.18527790,0.28403580
2.94681390,-0.16763820,0.33738210
2.96014790,-0.19409770,0.32850120
2.97348190,-0.23822750,0.29291670
2.98681590,-0.19409770,0.33738210
3.00014990,-0.18527790,0.34629350
3.01348390,-0.17645800,0.35517440
3.02681790,-0.17645800,0.35517440
3.04015190,-0.21176790,0.31958980
3.05348590,-0.17645800,0.35517440
3.06681990,-0.17645800,0.35517440
3.08015390,-0.21176790,0.32850120
3.09348790,-0.17645800,0.35517440
3.10682190,-0.17645800,0.34629350
3.12015590,-0.21176790,0.31958980
3.13348989,-0.20291760,0.32850120
3.14682389,-0.18527790,0.34629350
3.16015789,-0.17645800,0.35517440
3.17349189,-0.14999850,0.39075900
3.18682589,-0.17645800,0.35517440
3.20015989,-0.22058780,0.31958980
3.21349389,-0.24704730,0.30182810
3.22682789,-0.19409770,0.35517440
3.24016189,-0.16763820,0.37296670
3.25349589,-0.22058780,0.32850120
3.26682989,-0.15881830,0.39075900
3.28016389,-0.22940760,0.31958980
3.29349789,-0.17645800,0.36405530
3.30683189,-0.21176790,0.34629350
3.32016589,-0.17645800,0.37296670
3.33349989,-0.21176790,0.34629350
3.34683389,-0.17645800,0.36405530
3.36016789,-0.16763820,0.38184760
3.37350189,-0.17645800,0.37296670
3.38683589,-0.20291760,0.36405530
3.40016989,-0.24704730,0.32850120
3.41350389,-0.18527790,0.36405530
3.42683788,-0.22940760,0.36405530
3.44017188,-0.22940760,0.35517440
3.45350588,-0.23822750,0.35517440
3.46683988,-0.18527790,0.37296670
3.48017388,-0.22058780,0.36405530
3.49350788,-0.24704730,0.35517440
3.50684188,-0.19409770,0.37296670
3.52017588,-0.24704730,0.34629350
3.53350988,-0.20291760,0.36405530
3.54684388,-0.20291760,0.37296670
3.56017788,-0.21176790,0.35517440
3.57351188,-0.16763820,0.37296670
3.58684588,-0.18527790,0.38184760
3.60017988,-0.21176790,0.35517440
3.61351388,-0.18527790,0.38184760
3.62684788,-0.20291760,0.37296670
3.64018188,-0.21176790,0.36405530
3.65351588,-0.17645800,0.39963990
3.66684988,-0.17645800,0.39963990
3.68018388,-0.19409770,0.38184760
3.69351788,-0.20291760,0.37296670
3.70685188,-0.17645800,0.40852080
3.72018587,-0.18527790,0.39075900
3.73351987,-0.18527790,0.39075900
3.74685387,-0.17645800,0.39963990
3.76018787,-0.20291760,0.37296670
3.77352187,-0.18527790,0.39075900
3.78685587,-0.17645800,0.39963990
3.80018987,-0.19409770,0.38184760
3.81352387,-0.18527790,0.39963990
3.82685787,-0.17645800,0.39963990
3.84019187,-0.17645800,0.39075900
3.85352587,-0.16763820,0.39963990
3.86685987,-0.16763820,0.40852080
3.88019387,-0.17645800,0.39075900
3.89352787,-0.18527790,0.39963990
3.90686187,-0.17645800,0.40852080
3.92019587,-0.18527790,0.39075900
3.93352987,-0.11468860,0.41743220
3.94686387,-0.15881830,0.39075900
3.96019787,-0.17645800,0.37296670
3.97353187,-0.17645800,0.39963990
3.98686587,-0.14117860,0.41743220
4.00019987,-0.15881830,0.39075900
4.01353387,-0.21176790,0.38184760
4.02686786,-0.13232830,0.40852080
4.04020186,-0.17645800,0.38184760
4.05353586,-0.19409770,0.37296670
4.06686986,-0.15881830,0.39963990
4.08020386,-0.13232830,0.39963990
4.09353786,-0.10586870,0.39963990
4.10687186,-0.13232830,0.39963990
4.12020586,-0.17645800,0.36405530
4.13353986,-0.14117860,0.38184760
4.14687386,-0.13232830,0.38184760
4.16020786,-0.17645800,0.34629350
4.17354186,-0.11468860,0.37296670
4.18687586,-0.14117860,0.37296670
4.20020986,-0.18527790,0.34629350
4.21354386,-0.19409770,0.35517440
4.22687786,-0.15881830,0.36405530
4.24021186,-0.15881830,0.35517440
4.25354586,-0.21176790,0.33738210
4.26687986,-0.18527790,0.35517440
4.28021386,-0.19409770,0.33738210
4.29354786,-0.20291760,0.33738210
4.30688186,-0.16763820,0.36405530
4.32021585,-0.15881830,0.35517440
4.33354985,-0.18527790,0.35517440
4.34688385,-0.17645800,0.35517440
4.36021785,-0.19409770,0.34629350
4.37355185,-0.24704730,0.31958980
4.38688585,-0.18527790,0.34629350
4.40021985,-0.22058780,0.31958980
4.41355385,-0.18527790,0.33738210
4.42688785,-0.18527790,0.34629350
4.44022185,-0.25586720,0.30182810
4.45355585,-0.18527790,0.33738210
4.46688985,-0.22058780,0.32850120
4.48022385,-0.25586720,0.30182810
4.49355785,-0.22058780,0.31958980
4.50689185,-0.19409770,0.33738210
4.52022585,-0.24704730,0.31070890
4.53355985,-0.27350690,0.31070890
4.54689385,-0.23822750,0.32850120
4.56022785,-0.27350690,0.30182810
4.57356185,-0.28235720,0.31070890
4.58689585,-0.24704730,0.32850120
4.60022985,-0.24704730,0.31958980
4.61356384,-0.22058780,0.32850120
4.62689784,-0.28235720,0.31958980
4.64023184,-0.30881680,0.30182810
4.65356584,-0.24704730,0.32850120
4.66689984,-0.28235720,0.32850120
4.68023384,-0.29117710,0.30182810
4.69356784,-0.25586720,0.32850120
4.70690184,-0.36176640,0.31070890
4.72023584,-0.31763660,0.31958980
4.73356984,-0.30881680,0.31958980
4.74690384,-0.33527630,0.31958980
4.76023784,-0.40586570,0.29291670
4.77357184,-0.41468550,0.29291670
4.78690584,-0.37058620,0.31070890
4.80023984,-0.42353590,0.29291670
4.81357384,-0.44117560,0.29291670
4.82690784,-0.41468550,0.30182810
4.84024184,-0.43235570,0.29291670
4.85357584,-0.38822600,0.31958980
4.86690984,-0.40586570,0.31070890
4.88024384,-0.39704580,0.31958980
4.89357784,-0.42353590,0.31958980
4.90691184,-0.48527480,0.30182810
4.92024583,-0.49412520,0.29291670
4.93357983,-0.52058480,0.29291670
4.94691383,-0.48527480,0.31958980
4.96024783,-0.50294510,0.30182810
4.97358183,-0.49412520,0.31070890
4.98691583,-0.52940460,0.31070890
5.00024983,-0.52058480,0.30182810
5.01358383,-0.56471450,0.29291670
5.02691783,-0.52940460,0.31070890
5.04025183,-0.55586420,0.29291670
5.05358583,-0.52058480,0.31070890
5.06691983,-0.52940460,0.31070890
5.08025383,-0.56471450,0.28403580
5.09358783,-0.55586420,0.29291670
5.10692183,-0.54704430,0.31070890
5.12025583,-0.59999390,0.28403580
5.13358983,-0.57353440,0.30182810
5.14692383,-0.53822450,0.31958980
5.16025783,-0.52940460,0.32850120
5.17359183,-0.58235420,0.31070890
5.18692583,-0.56471450,0.31070890
5.20025983,-0.60881380,0.30182810
5.21359382,-0.57353440,0.31958980
5.22692782,-0.53822450,0.33738210
5.24026182,-0.55586420,0.31958980
5.25359582,-0.55586420,0.32850120
5.26692982,-0.52940460,0.34629350
5.28026382,-0.54704430,0.32850120
5.29359782,-0.57353440,0.32850120
5.30693182,-0.50294510,0.37296670
5.32026582,-0.54704430,0.33738210
5.33359982,-0.52058480,0.36405530
5.34693382,-0.52058480,0.37296670
5.36026782,-0.54704430,0.33738210
5.37360182,-0.52940460,0.35517440
5.38693582,-0.50294510,0.34629350
5.40026982,-0.51176490,0.34629350
5.41360382,-0.51176490,0.35517440
5.42693782,-0.48527480,0.36405530
5.44027182,-0.47645500,0.36405530
5.45360582,-0.47645500,0.34629350
5.46693982,-0.43235570,0.37296670
5.48027382,-0.41468550,0.36405530
5.49360782,-0.39704580,0.38184760
5.50694181,-0.38822600,0.36405530
5.52027581,-0.38822600,0.36405530
5.53360981,-0.37940610,0.35517440
5.54694381,-0.35294650,0.36405530
5.56027781,-0.36176640,0.34629350
5.57361181,-0.31763660,0.37296670
5.58694581,-0.29999690,0.37296670
5.60027981,-0.30881680,0.34629350
5.61361381,-0.28235720,0.35517440
5.62694781,-0.24704730,0.37296670
5.64028181,-0.22940760,0.38184760
5.65361581,-0.24704730,0.34629350
5.66694981,-0.22940760,0.35517440
5.68028381,-0.21176790,0.36405530
5.69361781,-0.20291760,0.36405530
5.70695181,-0.17645800,0.37296670
5.72028581,-0.16763820,0.36405530
5.73361981,-0.14999850,0.37296670
5.74695381,-0.10586870,0.37296670
5.76028781,-0.09704886,0.36405530
5.77362181,-0.07058931,0.37296670
5.78695581,-0.04409925,0.38184760
5.80028981,-0.04409925,0.36405530
5.81362380,-0.02645955,0.36405530
